model,fold,accuracy,macro_f1,macro_precision,macro_recall,balanced_accuracy,weighted_f1,top3_accuracy,rows,labels_present,training_labels
Dummy prior,0,0.07692307692307693,0.00510204081632653,0.0027472527472527475,0.03571428571428571,0.03571428571428571,0.010989010989010988,0.1794871794871795,39,28,28
Dummy prior,1,0.07692307692307693,0.00510204081632653,0.0027472527472527475,0.03571428571428571,0.03571428571428571,0.010989010989010988,0.20512820512820512,39,28,28
Dummy prior,2,0.07894736842105263,0.005226480836236933,0.002819548872180451,0.03571428571428571,0.03571428571428571,0.011553273427471115,0.18421052631578946,38,28,28
Dummy prior,3,0.0975609756097561,0.006349206349206349,0.003484320557491289,0.03571428571428571,0.03571428571428571,0.017344173441734417,0.21951219512195122,41,28,28
Bernoulli Naive Bayes,0,0.05128205128205128,0.022222222222222223,0.022321428571428572,0.047619047619047616,0.047619047619047616,0.03646723646723647,0.1282051282051282,39,28,28
Bernoulli Naive Bayes,1,0.10256410256410256,0.03809523809523809,0.026275510204081635,0.07738095238095237,0.07738095238095237,0.05641025641025642,0.15384615384615385,39,28,28
Bernoulli Naive Bayes,2,0.05263157894736842,0.015873015873015872,0.009566326530612245,0.05357142857142857,0.05357142857142857,0.017543859649122806,0.15789473684210525,38,28,28
Bernoulli Naive Bayes,3,0.04878048780487805,0.01615646258503401,0.010714285714285716,0.03571428571428571,0.03571428571428571,0.022067363530778164,0.14634146341463414,41,28,28
Logistic regression,0,0.10256410256410256,0.0365079365079365,0.03125,0.08333333333333334,0.08333333333333334,0.05698005698005698,0.1282051282051282,39,28,28
Logistic regression,1,0.10256410256410256,0.03809523809523809,0.026275510204081635,0.07738095238095237,0.07738095238095237,0.05641025641025642,0.15384615384615385,39,28,28
Logistic regression,2,0.05263157894736842,0.025793650793650792,0.022321428571428572,0.05357142857142857,0.05357142857142857,0.032163742690058485,0.15789473684210525,38,28,28
Logistic regression,3,0.04878048780487805,0.01615646258503401,0.010714285714285716,0.03571428571428571,0.03571428571428571,0.022067363530778164,0.14634146341463414,41,28,28
Linear SVM,0,0.05128205128205128,0.022222222222222223,0.022321428571428572,0.047619047619047616,0.047619047619047616,0.03646723646723647,0.10256410256410256,39,28,28
Linear SVM,1,0.07692307692307693,0.021428571428571432,0.014172335600907028,0.05952380952380952,0.05952380952380952,0.0358974358974359,0.15384615384615385,39,28,28
Linear SVM,2,0.07894736842105263,0.026077097505668934,0.015518707482993195,0.08928571428571429,0.08928571428571429,0.02506265664160401,0.15789473684210525,38,28,28
Linear SVM,3,0.04878048780487805,0.01615646258503401,0.010714285714285716,0.03571428571428571,0.03571428571428571,0.022067363530778164,0.17073170731707318,41,28,28
Decision tree,0,0.05128205128205128,0.022222222222222223,0.022321428571428572,0.047619047619047616,0.047619047619047616,0.03646723646723647,0.15384615384615385,39,28,28
Decision tree,1,0.05128205128205128,0.014285714285714287,0.01020408163265306,0.023809523809523808,0.023809523809523808,0.030769230769230774,0.23076923076923078,39,28,28
Decision tree,2,0.02631578947368421,0.007936507936507936,0.004464285714285714,0.03571428571428571,0.03571428571428571,0.005847953216374269,0.10526315789473684,38,28,28
Decision tree,3,0.04878048780487805,0.012445887445887446,0.00753968253968254,0.03571428571428571,0.03571428571428571,0.01699926090169993,0.14634146341463414,41,28,28
K nearest neighbors,0,0.07692307692307693,0.03469387755102041,0.03214285714285715,0.047619047619047616,0.047619047619047616,0.060073260073260075,0.15384615384615385,39,28,28
K nearest neighbors,1,0.10256410256410256,0.03968253968253967,0.027976190476190477,0.07738095238095237,0.07738095238095237,0.059829059829059825,0.20512820512820512,39,28,28
K nearest neighbors,2,0.05263157894736842,0.01913265306122449,0.014285714285714287,0.02976190476190476,0.02976190476190476,0.03477443609022556,0.13157894736842105,38,28,28
K nearest neighbors,3,0.04878048780487805,0.009523809523809523,0.006493506493506494,0.017857142857142856,0.017857142857142856,0.026016260162601626,0.12195121951219512,41,28,28
Random forest,0,0.1282051282051282,0.058106575963718814,0.06339285714285714,0.10119047619047619,0.10119047619047619,0.09055759055759055,0.1794871794871795,39,28,28
Random forest,1,0.10256410256410256,0.041666666666666664,0.03035714285714286,0.07738095238095237,0.07738095238095237,0.0641025641025641,0.1282051282051282,39,28,28
Random forest,2,0.07894736842105263,0.04404761904761905,0.0369047619047619,0.07142857142857142,0.07142857142857142,0.056140350877192984,0.15789473684210525,38,28,28
Random forest,3,0.07317073170731707,0.0369047619047619,0.03273809523809524,0.044642857142857144,0.044642857142857144,0.06016260162601626,0.17073170731707318,41,28,28
